,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_episodes,total_samples,learning/total_time_s,total_iterations,total_time_s
54,255.7134850889575,2045.70788071166,74.44546151161194,18000,144000,83.23700714111328,55,157.80942678451538
55,248.386272471362,1987.090179770896,76.05585646629333,18400,147200,84.39486598968506,56,160.57873725891113
56,255.17178968226145,2041.3743174580916,77.6234278678894,18800,150400,85.69152212142944,57,163.4440679550171
57,257.58925843437737,2060.714067475019,79.17628765106201,19200,153600,86.92241716384888,58,166.22898387908936
58,248.49450733047138,1987.956058643771,80.78598117828369,19600,156800,88.08061480522156,59,168.99812173843384
59,258.90949225874135,2071.275938069931,82.33092260360718,20000,160000,89.28546142578125,60,171.78362727165222
60,256.45102760989863,2051.608220879189,83.89067459106445,20400,163200,90.66339039802551,61,174.72238945960999
61,258.9693593658736,2071.7548749269886,85.43525886535645,20800,166400,92.03756809234619,62,177.6425178050995
62,260.7463992997533,2085.9711943980265,86.96931648254395,21200,169600,93.43156480789185,63,180.57196950912476
63,260.0308431016071,2080.246744812857,88.50759553909302,21600,172800,94.58035063743591,64,183.26024293899536
64,258.92431658024907,2071.3945326419926,90.05244851112366,22000,176000,95.82231664657593,65,186.04813265800476
65,257.277554850387,2058.220438803096,91.60718965530396,22400,179200,97.03295493125916,66,188.81480312347412
66,256.7393950411999,2053.915160329599,93.16518974304199,22800,182400,98.1833655834198,67,191.52453565597534
67,255.01513168594798,2040.1210534875838,94.73372411727905,23200,185600,99.31665778160095,68,194.22739553451538
68,257.1046287585379,2056.837030068303,96.28951096534729,23600,188800,100.66676330566406,69,197.1345100402832
69,259.17951283159204,2073.4361026527363,97.83284282684326,24000,192000,101.81671738624573,70,199.82904148101807
70,257.33276193321797,2058.6620954657437,99.3872504234314,24400,195200,102.96282434463501,71,202.53050327301025
71,256.1717166673767,2049.3737333390136,100.9487030506134,24800,198400,104.19349813461304,72,205.3236801624298
72,265.70284045143404,2125.6227236114723,102.45414423942566,25200,201600,105.32614421844482,73,207.9628505706787
73,262.3168832208477,2098.535065766782,103.97901749610901,25600,204800,106.51112294197083,74,210.6738691329956
74,255.47743606103543,2043.8194884882835,105.54471349716187,26000,208000,107.67567586898804,75,213.40526604652405
75,256.1259212827107,2049.0073702616855,107.1064453125,26400,211200,108.8438789844513,76,216.1361711025238
76,257.7003203663577,2061.6025629308615,108.65863585472107,26800,214400,110.12965321540833,77,218.97529554367065
77,255.58882553289897,2044.7106042631917,110.22364950180054,27200,217600,111.31655192375183,78,221.72838163375854
78,233.11444080696546,1864.9155264557237,111.93954491615295,27600,220800,113.15109324455261,79,225.28000402450562
79,245.93889412625973,1967.5111530100778,113.56596517562866,28000,224000,114.42687010765076,80,228.2180209159851
80,252.6702855617892,2021.3622844943136,115.14905595779419,28400,227200,115.63823342323303,81,231.01371383666992
81,251.18085821991016,2009.4468657592813,116.74153399467468,28800,230400,116.94401335716248,82,233.9132900238037
82,252.9093318829586,2023.274655063669,118.32312846183777,29200,233600,118.3103301525116,83,236.8621654510498
83,253.24126380209006,2025.9301104167205,119.90264987945557,29600,236800,119.70855140686035,84,239.84107184410095
84,255.7760554494981,2046.2084435959848,121.46651792526245,30000,240000,120.91065096855164,85,242.60846638679504
85,255.48506131364564,2043.8804905091652,123.0321671962738,30400,243200,122.15529179573059,86,245.4199538230896
86,256.55153726326023,2052.412298106082,124.59130811691284,30800,246400,123.38028812408447,87,248.20533156394958
87,255.56616613795703,2044.5293291036562,126.15646052360535,31200,249600,124.57497453689575,88,250.96642136573792
88,255.79941510098206,2046.3953208078565,127.72018575668335,31600,252800,125.81612801551819,89,253.7726173400879
89,252.7357155392728,2021.8857243141824,129.3028666973114,32000,256000,126.98192095756531,90,256.5222270488739
90,253.96247967244,2031.69983737952,130.87790250778198,32400,259200,128.25624585151672,91,259.3726580142975
91,253.82922870162355,2030.6338296129884,132.4537651538849,32800,262400,129.5324170589447,92,262.2259712219238
92,252.1083542556881,2016.866834045505,134.04038453102112,33200,265600,130.7080271244049,93,264.98955821990967
93,255.01935687065165,2040.1548549652132,135.60889291763306,33600,268800,131.9960331916809,94,267.84730219841003
94,252.24822336963925,2017.985786957114,137.1946325302124,34000,272000,133.26784586906433,95,270.7065281867981
95,252.94692871773827,2023.5754297419062,138.7759919166565,34400,275200,134.62288188934326,96,273.6442415714264
96,251.86427757226798,2014.9142205781438,140.36414885520935,34800,278400,135.90045475959778,97,276.5113732814789
97,253.30098554661473,2026.4078843729178,141.9432978630066,35200,281600,137.1750626564026,98,279.36625480651855
98,258.9151261000896,2071.3210088007168,143.48820567131042,35600,284800,138.54318809509277,99,282.2804775238037
99,248.13286747210336,1985.0629397768269,145.10024523735046,36000,288000,139.8479347229004,100,285.23348450660706
100,250.99124332043812,2007.929946563505,146.6939263343811,36400,291200,141.114417552948,101,288.09474539756775
101,254.89359161367275,2039.148732909382,148.2632086277008,36800,294400,142.28331470489502,102,290.83429169654846
102,252.013225829904,2016.105806639232,149.85042691230774,37200,297600,143.56576538085938,103,293.7050311565399
103,253.24833564987847,2025.9866851990278,151.4299042224884,37600,300800,144.92706155776978,104,296.64683723449707
104,256.894953718314,2055.159629746512,152.98696088790894,38000,304000,146.11424493789673,105,299.39218187332153
105,256.1052776516714,2048.842221213371,154.54881858825684,38400,307200,147.44689917564392,106,302.28778553009033
106,255.77344286562578,2046.1875429250063,156.11270260810852,38800,310400,148.67452144622803,107,305.08035230636597
107,254.56256981527952,2036.5005585222361,157.68402552604675,39200,313600,149.96941590309143,108,307.94805121421814
108,253.68506954740246,2029.4805563792197,159.26078367233276,39600,316800,151.17400908470154,109,310.7305860519409
109,252.22327057073255,2017.7861645658604,160.84668016433716,40000,320000,152.53473925590515,110,313.6784780025482
110,252.12150065137186,2016.9720052109749,162.43321681022644,40400,323200,153.80728435516357,111,316.5386998653412
111,251.69262121205756,2013.5409696964605,164.02245688438416,40800,326400,155.01059770584106,112,319.33237862586975
112,253.59250414574646,2028.7400331659717,165.59979057312012,41200,329600,156.24182653427124,113,322.14205837249756
113,255.8914522953215,2047.131618362572,167.16295337677002,41600,332800,157.53502368927002,114,324.99954652786255
114,251.77216690552476,2014.177335244198,168.75169134140015,42000,336000,158.7801718711853,115,327.83490896224976
115,251.9423806168597,2015.5390449348777,170.33935594558716,42400,339200,159.98691964149475,116,330.6305582523346
116,252.5459896628629,2020.3679173029032,171.9232258796692,42800,342400,161.2203071117401,117,333.4490213394165
117,254.4017980305912,2035.2143842447297,173.49554181098938,43200,345600,162.4729118347168,118,336.2751660346985
118,254.67699003209796,2037.4159202567837,175.0661587715149,43600,348800,163.70700192451477,119,339.0811855792999
119,253.41714504950232,2027.3371603960186,176.64458394050598,44000,352000,164.92946863174438,120,341.9183020591736
120,228.82126039515998,1830.5700831612799,178.39267325401306,44400,355200,166.35283946990967,121,345.0909631252289
121,255.15626656300554,2041.2501325040444,179.96034002304077,44800,358400,167.58346915245056,122,347.89055943489075
122,252.35206939720413,2018.816555177633,181.54542708396912,45200,361600,168.77134943008423,123,350.6647982597351
123,251.26873576924731,2010.1498861539785,183.13734817504883,45600,364800,170.04087781906128,124,353.52745604515076
124,236.5838170968492,1892.6705367747936,184.82808089256287,46000,368000,171.6680452823639,125,356.8468668460846
125,232.26387006680977,1858.1109605344782,186.55026006698608,46400,371200,173.07513284683228,126,359.97736120224
126,237.64603562449096,1901.1682849959277,188.23343563079834,46800,374400,175.06344747543335,127,363.65012311935425
127,216.79104284749954,1734.3283427799963,190.07853031158447,47200,377600,176.4383246898651,128,366.8716969490051
128,250.90873796339264,2007.269903707141,191.67273545265198,47600,380800,177.76383709907532,129,369.7926034927368
129,252.61002404861034,2020.8801923888827,193.2562038898468,48000,384000,179.0371494293213,130,372.65074372291565
130,252.3820970926715,2019.056776741372,194.84110236167908,48400,387200,180.361487865448,131,375.56114387512207
131,246.34641995437576,1970.771359635006,196.46483206748962,48800,390400,181.6604073047638,132,378.48487281799316
132,253.43900381641566,2027.5120305313253,198.04312109947205,49200,393600,182.92791533470154,133,381.3318703174591
133,255.39611538634844,2043.1689230907875,199.6093156337738,49600,396800,184.3396337032318,134,384.31111884117126
134,253.52268384540167,2028.1814707632134,201.1870837211609,50000,400000,185.63634371757507,135,387.18679881095886
135,251.16566645323525,2009.325331625882,202.77965807914734,50400,403200,186.981791973114,136,390.12597608566284
136,253.9124365245999,2031.2994921967993,204.3550043106079,50800,406400,188.27245950698853,137,392.9932208061218
137,254.71260067979165,2037.7008054383332,205.92540168762207,51200,409600,189.4724156856537,138,395.76482248306274
138,244.08726331027358,1952.6981064821887,207.5641598701477,51600,412800,190.8271267414093,139,398.75954151153564
139,220.54845752810914,1764.3876602248731,209.3778202533722,52000,416000,192.31958198547363,140,402.1036674976349
140,234.05694693893952,1872.4555755115161,211.08680605888367,52400,419200,193.63628506660461,141,405.13052248954773
141,255.0908961531748,2040.7271692253985,212.65487456321716,52800,422400,194.8626630306244,142,407.92630410194397
142,253.89391556823185,2031.1513245458548,214.23033571243286,53200,425600,196.27178049087524,143,410.9121479988098
143,251.9986902305014,2015.9895218440113,215.81764554977417,53600,428800,197.56273579597473,144,413.7915756702423
