,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
54,176.14270808813973,1409.1416647051178,49.16067028045654,55,9000,72000,57.621437072753906,16.0,8.0,8.0,10,80,110.40779709815979
55,175.8915606896177,1407.1324855169416,50.29773449897766,56,9200,73600,58.48245549201965,16.0,8.0,8.0,10,80,112.4706540107727
56,188.08896582109747,1504.7117265687798,51.361061096191406,57,9400,75200,59.24937701225281,16.0,8.0,8.0,10,80,114.36718440055847
57,182.39942666195844,1459.1954132956675,52.45755577087402,58,9600,76800,60.0722451210022,16.0,8.0,8.0,10,80,116.35075402259827
58,161.15342757602508,1289.2274206082006,53.69860911369324,59,9800,78400,60.905447483062744,16.0,8.0,8.0,10,80,118.49434733390808
59,180.49014541012056,1443.9211632809645,54.806702852249146,60,10000,80000,61.75019192695618,16.0,8.0,8.0,10,80,120.53963971138
60,182.54676496957774,1460.374119756622,55.90231251716614,61,10200,81600,62.56427359580994,16.0,8.0,8.0,10,80,122.52656698226929
61,202.50779567121472,1620.0623653697178,56.88992881774902,62,10400,83200,63.55926465988159,16.0,8.0,8.0,10,80,124.56473994255066
62,194.66135602392387,1557.290848191391,57.917354106903076,63,10600,84800,64.45911574363708,16.0,8.0,8.0,10,80,126.55781674385071
63,174.16466503241682,1393.3173202593346,59.06569266319275,64,10800,86400,65.31391263008118,16.0,8.0,8.0,10,80,128.6239104270935
64,190.75084624203956,1526.0067699363165,60.11418080329895,65,11000,88000,66.23128724098206,16.0,8.0,8.0,10,80,130.68013167381287
65,185.09317976214118,1480.7454380971294,61.19471764564514,66,11200,89600,67.00959515571594,16.0,8.0,8.0,10,80,132.6013469696045
66,206.03945610312033,1648.3156488249626,62.16540551185608,67,11400,91200,67.85036945343018,16.0,8.0,8.0,10,80,134.47275114059448
67,180.15179501981248,1441.2143601584999,63.275580406188965,68,11600,92800,68.67460298538208,16.0,8.0,8.0,10,80,136.47241020202637
68,181.42002569281942,1451.3602055425554,64.37799453735352,69,11800,94400,69.43845462799072,16.0,8.0,8.0,10,80,138.39132499694824
69,178.09463171073313,1424.757053685865,65.50099301338196,70,12000,96000,70.25559258460999,16.0,8.0,8.0,10,80,140.38587164878845
70,184.69624645518115,1477.5699716414492,66.5838520526886,71,12200,97600,71.07389616966248,16.0,8.0,8.0,10,80,142.35050559043884
71,187.0307958622547,1496.2463668980376,67.65319466590881,72,12400,99200,71.87152314186096,16.0,8.0,8.0,10,80,144.29470038414001
72,190.09290717961142,1520.7432574368913,68.70531177520752,73,12600,100800,72.67363357543945,16.0,8.0,8.0,10,80,146.21269822120667
73,177.07220467624182,1416.5776374099346,69.83479452133179,74,12800,102400,73.46300482749939,16.0,8.0,8.0,10,80,148.18443131446838
