,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
34,191.7322489102133,1533.8579912817063,30.550100326538086,35,5000,40000,43.34454369544983,10.0,5.0,5.0,10,80,76.37134861946106
35,192.69808067050764,1541.584645364061,31.587993383407593,36,5200,41600,44.16274881362915,14.0,7.0,7.0,10,80,78.29547643661499
36,195.81315158359527,1566.5052126687622,32.60937523841858,37,5400,43200,44.949984312057495,14.0,7.0,7.0,10,80,80.17812323570251
37,180.0781613094005,1440.625290475204,33.720004081726074,38,5600,44800,45.74527907371521,10.0,5.0,5.0,10,80,82.14339900016785
38,165.53580438985395,1324.2864351188316,34.92820191383362,39,5800,46400,46.540096044540405,4.0,2.0,2.0,10,80,84.20874810218811
39,185.52238525394134,1484.1790820315307,36.00623893737793,40,6000,48000,47.338003158569336,12.0,6.0,6.0,10,80,86.18582224845886
40,194.85067524988114,1558.805401999049,37.032665967941284,41,6200,49600,48.15661358833313,14.0,7.0,7.0,10,80,88.09595084190369
41,192.91797647665962,1543.343811813277,38.06937599182129,42,6400,51200,48.93622350692749,2.0,1.0,1.0,10,80,89.99555730819702
42,199.009012642372,1592.072101138976,39.074355602264404,43,6600,52800,49.76957035064697,12.0,6.0,6.0,10,80,91.90052509307861
43,178.55821921307253,1428.4657537045803,40.194438457489014,44,6800,54400,50.57296442985535,0.0,0.0,0.0,10,80,93.87882494926453
44,201.50139849322085,1612.0111879457668,41.18698740005493,45,7000,56000,51.38814568519592,4.0,2.0,2.0,10,80,95.7518744468689
45,195.43997133382072,1563.5197706705658,42.21031951904297,46,7200,57600,52.19540333747864,4.0,2.0,2.0,10,80,97.64110350608826
46,190.36238849811602,1522.8991079849282,43.26094722747803,47,7400,59200,53.00699591636658,8.0,4.0,4.0,10,80,99.55780267715454
47,212.9984648362179,1703.9877186897431,44.19992113113403,48,7600,60800,53.850685358047485,4.0,2.0,2.0,10,80,101.39715433120728
48,196.33846410224962,1570.707712817997,45.21857023239136,49,7800,62400,54.86162972450256,8.0,4.0,4.0,10,80,103.48090434074402
49,192.15567788264738,1537.245423061179,46.259392976760864,50,8000,64000,55.68929576873779,6.0,3.0,3.0,10,80,105.41010999679565
50,204.21790915785695,1633.7432732628556,47.238739013671875,51,8200,65600,56.504897117614746,10.0,5.0,5.0,10,80,107.26815891265869
51,199.32924913827478,1594.6339931061982,48.242104053497314,52,8400,67200,57.2983500957489,4.0,2.0,2.0,10,80,109.14618682861328
