,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
35,19.7,9.85,9.85,100,1000,19.56,9.78,9.78,100,1000,220.37993605556912,2203.7993605556912,32.071773290634155,36,7200,72000,15.000155448913574,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,50.512447357177734
36,19.54,9.77,9.77,100,1000,19.58,9.79,9.79,100,1000,232.5739002128446,2325.739002128446,32.93171501159668,37,7400,74000,15.290543794631958,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,51.74340772628784
37,19.64,9.82,9.82,100,1000,19.62,9.81,9.81,100,1000,235.47207775292605,2354.7207775292604,33.78107261657715,38,7600,76000,15.548263788223267,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,52.93631720542908
38,19.66,9.83,9.83,100,1000,19.64,9.82,9.82,100,1000,234.12802145738874,2341.2802145738874,34.63530611991882,39,7800,78000,15.835881471633911,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,54.154635429382324
39,19.68,9.84,9.84,100,1000,19.5,9.75,9.75,100,1000,235.03815170517794,2350.3815170517796,35.48623180389404,40,8000,80000,16.151779651641846,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,55.417887687683105
40,19.54,9.77,9.77,100,1000,19.6,9.8,9.8,100,1000,232.26100834063365,2322.6100834063363,36.34733200073242,41,8200,82000,16.406817197799683,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,56.61735463142395
41,19.58,9.79,9.79,100,1000,19.66,9.83,9.83,100,1000,207.33263700189275,2073.3263700189277,37.311965465545654,42,8400,84000,16.72988986968994,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,58.02129149436951
42,19.7,9.85,9.85,100,1000,19.68,9.84,9.84,100,1000,216.54547744971904,2165.4547744971906,38.23555898666382,43,8600,86000,17.27732825279236,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,59.587104082107544
43,19.6,9.8,9.8,100,1000,19.7,9.85,9.85,100,1000,235.01023262589771,2350.102326258977,39.08658576011658,44,8800,88000,17.6119065284729,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,60.87942957878113
44,19.54,9.77,9.77,100,1000,19.68,9.84,9.84,100,1000,245.35963728716493,2453.5963728716492,39.90171575546265,45,9000,90000,18.045133352279663,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,62.22252917289734
